video,frame,f1x1,f1y1,f1x2,f1y2,f2x1,f2y1,f2x2,f2y2
task_kam2_gh098416,113,1081,400,1317,841,894,423,1132,762
task_kam2_gh098416,115,1083,402,1309,852,920,424,1139,760
task_kam2_gh098416,117,1077,412,1296,868,942,420,1139,762
task_kam2_gh098416,249,646,483,861,836,838,432,1032,811
task_kam2_gh098416,251,649,474,889,834,653,469,824,837
task_kam2_gh098416,300,666,396,868,766,811,415,1058,812
task_kam2_gh098416,301,666,394,866,768,809,413,1056,811
task_kam2_gh098416,302,667,396,866,768,809,412,1044,811
task_kam2_gh098416,303,670,395,865,769,805,442,1036,803
task_kam2_gh098416,304,675,398,863,761,804,420,1020,801
task_kam2_gh098416,305,681,392,862,763,814,417,1013,803
task_kam2_gh098416,385,700,403,859,957,799,444,923,810
task_kam2_gh098416,386,678,433,874,958,756,399,923,811
task_kam2_gh098416,387,667,440,853,958,794,463,926,812
task_kam2_gh098416,388,658,412,860,956,798,481,928,813
task_kam2_gh098416,532,788,392,1025,815,467,403,769,1049
task_kam2_gh098416,533,777,387,1021,810,471,400,771,1031
task_kam2_gh098416,534,779,406,1016,808,476,400,771,1016
task_kam2_gh098416,617,1053,393,1254,830,787,419,1052,810
task_kam2_gh098416,619,1078,384,1257,833,797,375,1093,817
task_kam2_gh098416,621,1097,380,1266,832,791,399,1118,814
task_kam2_gh098416,622,1108,380,1274,836,794,390,1125,810
task_kam2_gh098416,623,1120,381,1273,831,802,383,1123,812
task_kam2_gh098416,624,1120,380,1280,829,813,379,1130,812
task_kam2_gh098416,625,1135,382,1285,827,831,386,1134,812
task_kam2_gh098416,653,1028,389,1283,794,1267,409,1508,851
task_kam2_gh098416,655,1029,386,1281,790,1294,407,1529,862
task_kam2_gh098416,656,1029,387,1282,793,1303,408,1535,849
task_kam2_gh098416,657,1028,386,1281,793,1310,412,1542,856
task_kam2_gh098416,658,1027,391,1282,796,1316,414,1549,769
task_kam2_gh098416,716,1091,406,1321,971,984,380,1144,818
task_kam2_gh098416,717,1090,412,1314,971,983,380,1149,815
task_kam2_gh098416,720,1070,410,1306,970,981,379,1138,782
task_kam2_gh098416,721,1071,412,1302,970,985,380,1138,772
task_kam2_gh098416,846,800,384,1007,765,986,399,1244,845
task_kam2_gh098416,849,786,398,979,763,981,408,1226,866
task_kam2_gh098416,850,781,406,985,764,978,407,1221,854
task_kam2_gh098416,851,778,409,986,764,975,412,1217,863
task_kam2_gh098416,1070,871,427,1008,810,604,401,895,845
task_kam2_gh098416,1071,882,426,1017,808,596,403,888,867
task_kam2_gh098416,1072,888,421,1025,810,595,395,887,851
task_kam2_gh098416,1074,890,418,1038,809,589,400,882,917
task_kam2_gh098416,1075,895,418,1046,811,584,402,881,886
task_kam2_gh098416,1076,896,415,1049,812,577,423,883,930
task_kam2_gh098416,1077,904,418,1053,813,575,420,881,961
task_kam2_gh098416,1078,911,416,1057,810,573,472,877,1013
task_kam2_gh098416,1079,911,409,1062,811,572,461,878,1027
task_kam2_gh098416,1140,809,413,998,809,1013,392,1123,817
task_kam2_gh098416,1142,801,408,991,811,997,384,1123,808
task_kam2_gh098416,1144,786,407,995,810,1013,386,1124,814
task_kam2_gh098416,1145,785,405,989,809,1019,383,1126,807
task_kam2_gh098416,1202,950,394,1079,778,729,414,911,893
task_kam2_gh098416,1204,954,390,1091,778,740,402,936,816
task_kam2_gh098416,1205,960,391,1098,776,747,393,938,811
task_kam2_gh098416,1208,970,395,1117,774,784,398,953,806
task_kam2_gh098416,1209,969,398,1125,775,787,401,958,810
task_kam2_gh098416,1483,1057,379,1216,863,925,404,1090,802
task_kam2_gh098416,1484,1059,380,1215,858,922,402,1065,804
task_kam2_gh098416,1570,1107,400,1366,865,895,413,1103,799
task_kam2_gh098416,1571,1100,401,1367,865,892,416,1105,795
task_kam2_gh098416,1572,1101,404,1364,868,911,422,1104,796
task_kam2_gh098416,1573,911,429,1100,793,1098,405,1361,865
task_kam2_gh098416,1574,915,428,1095,792,1098,408,1360,868
task_kam2_gh098416,1575,912,433,1095,792,1098,409,1362,872
task_kam2_gh098416,1576,909,435,1092,793,1098,410,1356,873
task_kam2_gh098416,1577,1097,406,1348,875,906,438,1093,795
task_kam2_gh098416,1717,772,391,1005,799,943,409,1226,1075
task_kam2_gh098416,1718,769,403,1005,796,941,411,1204,1059
task_kam2_gh098416,1719,767,415,996,788,938,413,1186,1058
task_kam2_gh098416,1720,770,417,994,793,935,414,1182,998
task_kam2_gh098416,1721,769,420,992,798,933,431,1184,1043
task_kam2_gh098416,1738,730,360,863,784,812,425,1054,810
task_kam2_gh098416,1739,806,419,1045,806,726,385,854,782
task_kam2_gh098416,1749,799,415,987,807,661,396,831,769
task_kam2_gh098416,1750,800,436,977,807,651,397,833,771
task_kam2_gh098416,1751,800,413,972,806,644,395,833,766
task_kam2_gh098416,1752,803,412,969,807,638,398,829,773
task_kam2_gh098416,1880,762,387,894,783,761,394,936,783
task_kam2_gh098416,1881,761,392,901,782,759,398,939,781
task_kam2_gh098416,1935,758,388,906,791,907,385,1002,714
task_kam2_gh098416,1937,751,385,892,786,908,384,1003,714
task_kam2_gh098416,1938,747,387,902,784,907,383,1002,714
task_kam2_gh098416,1969,665,394,814,747,879,398,1022,708
task_kam2_gh098416,1970,660,394,816,747,876,401,1021,710
task_kam2_gh098416,1971,657,393,816,750,868,401,1022,711
task_kam2_gh098416,1972,652,391,815,752,865,405,1022,711
task_kam2_gh098416,1973,857,401,1020,712,647,391,812,746
task_kam2_gh098416,1974,850,402,1020,714,638,393,812,745
task_kam2_gh098416,1975,631,392,815,743,838,392,1020,712
task_kam2_gh098416,2001,728,394,911,728,931,374,1040,707
task_kam2_gh098416,2003,731,397,922,732,942,376,1048,708
task_kam2_gh098416,2004,731,399,923,731,955,390,1053,700
task_kam2_gh098416,2005,728,406,948,731,964,377,1060,707
task_kam2_gh098416,2006,730,405,959,728,962,379,1073,706
task_kam2_gh098416,2007,967,376,1090,704,737,335,983,723
task_kam2_gh098416,2008,741,386,978,718,979,375,1120,705
task_kam2_gh098416,2009,976,375,1097,703,738,394,980,706
task_kam2_gh098416,2274,833,400,1042,801,834,401,952,755
task_kam2_gh098416,2381,917,413,1151,839,1191,401,1394,887
task_kam2_gh098416,2382,936,409,1150,841,1196,396,1391,854
task_kam2_gh098416,2383,949,410,1151,843,1211,397,1394,829
task_kam2_gh098416,2389,1011,398,1197,845,1238,386,1420,879
task_kam2_gh098416,2621,782,386,983,810,667,386,857,747
task_kam2_gh098416,2654,941,400,1200,958,771,403,1017,802
task_kam2_gh098416,2655,949,406,1205,968,769,385,1014,796
task_kam2_gh098416,2656,965,415,1206,977,768,384,1010,794
task_kam2_gh098416,2657,966,430,1208,987,769,389,1032,796
task_kam2_gh098416,2658,970,441,1208,1003,770,401,1029,797
task_kam2_gh098416,2659,968,460,1208,1013,771,400,1037,799
task_kam2_gh098416,2660,972,464,1209,1011,775,396,1036,801
task_kam2_gh098416,2670,946,448,1211,999,875,417,1036,798
task_kam2_gh098416,2671,933,442,1207,982,882,417,1048,798
task_kam2_gh098416,2672,922,436,1206,976,893,417,1081,799
task_kam2_gh098416,2673,927,431,1202,970,897,413,1088,795
task_kam2_gh098416,2674,920,428,1201,958,904,411,1077,799
task_kam2_gh098416,2675,919,423,1189,942,907,413,1069,802
task_kam2_gh098416,2688,794,405,928,803,941,396,1066,786
task_kam2_gh098416,2689,785,405,927,806,946,395,1064,787
task_kam2_gh098416,2690,777,406,921,812,943,395,1067,785
task_kam2_gh098416,2691,766,399,918,810,943,395,1071,784
task_kam2_gh098416,2692,950,397,1068,782,766,345,916,811
task_kam2_gh098416,2693,955,398,1072,782,756,394,929,813
task_kam2_gh098416,2694,952,398,1075,784,748,394,923,813
task_kam2_gh098416,2758,698,317,954,839,490,410,741,876
task_kam2_gh098416,2759,492,400,741,876,702,330,947,847
task_kam2_gh098416,2760,503,404,756,877,706,344,938,853
task_kam2_gh098416,3129,848,382,1013,784,1035,389,1198,805
task_kam2_gh098416,3131,1034,387,1249,805,841,380,1007,784
task_kam2_gh098416,3447,690,374,858,870,921,393,1074,777
task_kam2_gh098416,3448,682,379,867,877,910,391,1077,783
task_kam2_gh098416,3516,800,402,989,809,674,398,824,749
task_kam2_gh098416,3744,1049,382,1334,1005,816,392,1033,804
task_kam2_gh098416,3745,1006,386,1338,1039,801,391,1057,797
task_kam2_gh098416,3746,1019,391,1335,1053,789,385,1043,801
task_kam2_gh098416,3821,702,384,945,870,922,390,1188,944
task_kam2_gh098416,3822,917,388,1189,949,703,388,948,867
task_kam2_gh098416,3823,911,392,1188,954,706,390,945,866
task_kam2_gh098416,3824,927,392,1185,954,724,386,939,853
task_kam2_gh098416,3825,916,392,1182,957,741,405,938,844
task_kam2_gh098416,3826,747,399,942,819,900,393,1181,963
task_kam2_gh098416,3827,768,385,943,817,905,391,1176,969
task_kam2_gh098416,3989,1120,397,1347,785,945,376,1154,746
task_kam2_gh098416,3992,1123,412,1294,778,946,381,1171,764
task_kam2_gh098416,3993,1119,413,1280,780,946,378,1172,769
task_kam2_gh098416,3994,1117,418,1273,779,935,380,1164,772
task_kam2_gh098416,4103,811,415,1079,824,645,414,862,962
task_kam2_gh098416,4104,645,412,878,974,857,417,1068,826
task_kam2_gh098416,4105,861,417,1057,821,649,412,875,963
task_kam2_gh098416,4106,848,413,1051,824,651,423,866,957
task_kam2_gh098416,4145,658,410,942,841,651,402,947,1030
task_kam2_gh098416,4146,702,412,944,822,661,390,875,998
task_kam2_gh098416,4147,700,408,954,819,639,402,861,955
task_kam2_gh098416,4148,639,401,840,948,717,413,950,816
task_kam2_gh098416,4197,924,399,1091,809,1110,395,1211,752
task_kam2_gh098416,4198,924,397,1093,807,1104,390,1211,753
task_kam2_gh098416,4206,956,398,1090,811,1126,403,1213,756
task_kam2_gh098416,4208,952,401,1089,812,1136,411,1213,754
task_kam2_gh098416,4211,950,410,1088,809,1118,394,1218,757
task_kam2_gh098416,4224,1257,455,1506,1057,1204,376,1395,793
task_kam2_gh098416,4225,1246,421,1512,1077,1202,380,1387,771
task_kam2_gh098416,4226,1191,425,1525,1072,1198,380,1382,786
task_kam2_gh098416,4227,1184,422,1528,1031,1187,397,1525,842
task_kam2_gh098416,4379,962,392,1150,907,858,379,993,800
task_kam2_gh098416,4381,849,379,987,810,975,394,1148,913
task_kam2_gh098416,4387,806,387,988,811,993,389,1148,923
task_kam2_gh098416,4389,787,383,987,810,995,397,1150,922
task_kam2_gh098416,4390,780,381,988,811,998,441,1153,877
task_kam2_gh098416,4391,773,388,988,813,1003,452,1158,862
task_kam2_gh098416,4392,767,399,988,813,1001,460,1161,855
task_kam2_gh098416,4888,882,384,1015,738,843,386,983,746
task_kam2_gh098416,4890,884,391,1017,735,841,386,966,749
task_kam2_gh098416,4952,686,410,820,830,851,392,985,776
task_kam2_gh098416,4954,685,409,816,831,845,386,995,784
task_kam2_gh098416,4972,670,417,789,827,795,416,954,790
task_kam2_gh098416,4973,667,412,806,822,775,386,955,799
task_kam2_gh098416,4974,665,405,789,826,773,394,947,792
task_kam2_gh098416,4975,666,406,807,820,768,397,949,801
task_kam2_gh098416,4976,666,404,786,819,771,400,946,786
task_kam2_gh098416,4977,668,402,812,821,742,400,950,795
task_kam2_gh098416,4978,668,402,811,824,726,406,946,799
task_kam2_gh098416,4979,666,402,788,828,743,404,948,795
task_kam2_gh098416,4980,666,402,789,830,712,402,947,798
task_kam2_gh098416,5053,587,442,736,966,1737,623,1919,1075
task_kam2_gh098416,5054,581,442,741,903,582,450,761,1080
task_kam2_gh098416,5056,586,451,738,908,588,458,762,1074
task_kam4_gh149681,33,1014,475,1237,866,1156,450,1503,1044
task_kam4_gh149681,34,1032,468,1245,879,1152,449,1500,1023
task_kam4_gh149681,35,1043,460,1251,886,1145,441,1473,1002
task_kam4_gh149681,56,1065,443,1504,1080,1061,458,1420,989
task_kam4_gh149681,187,1091,443,1359,967,673,385,853,928
task_kam4_gh149681,190,1058,435,1366,988,1061,435,1368,982
task_kam4_gh149681,191,1056,427,1366,984,1060,429,1370,985
task_kam4_gh149681,223,1034,429,1194,850,1168,404,1414,864
task_kam4_gh149681,247,1075,423,1248,881,956,378,1063,795
task_kam4_gh149681,459,1226,489,1403,840,1010,391,1261,805
task_kam4_gh149681,801,975,410,1184,866,799,410,1024,807
task_kam4_gh149681,803,972,403,1169,864,835,402,1026,832
task_kam4_gh149681,900,842,428,1018,877,979,408,1148,866
task_kam4_gh149681,958,663,415,858,928,913,429,1118,875
task_kam4_gh149681,964,683,440,860,927,897,439,1077,876
task_kam4_gh149681,965,679,435,870,928,911,441,1089,866
task_kam4_gh149681,1662,1081,410,1351,863,1292,400,1611,844
task_kam4_gh149681,1663,1081,412,1352,864,1304,404,1631,859
task_kam4_gh149681,1664,1080,417,1352,864,1299,407,1625,923
task_kam4_gh149681,1665,1076,414,1349,863,1315,411,1632,940
task_kam4_gh149681,1666,1073,407,1349,862,1337,417,1630,935
task_kam4_gh149681,1763,941,424,1162,869,1045,468,1426,1079
task_kam4_gh149681,1764,939,418,1155,867,1045,483,1418,1077
task_kam4_gh149681,1765,925,417,1159,868,1038,465,1405,1079
task_kam4_gh149681,1766,897,418,1151,866,1044,482,1400,1074
task_kam4_gh149681,1960,601,413,896,948,320,473,635,939
task_kam4_gh149681,1961,601,411,893,949,319,472,636,943
task_kam4_gh149681,2071,729,388,928,944,451,397,795,911
task_kam4_gh149681,2072,457,402,802,906,742,389,948,951
task_kam4_gh149681,2073,458,406,817,907,760,381,958,969
task_kam4_gh149681,2074,463,390,869,908,771,379,971,975
task_kam4_gh149681,2075,468,389,846,909,784,375,985,975
task_kam4_gh149681,2076,472,393,777,910,801,379,994,968
task_kam4_gh149681,2287,871,434,1014,779,988,413,1095,708
task_kam4_gh149681,2288,873,435,1015,778,990,410,1094,708
task_kam4_gh149681,2289,877,434,1017,779,992,412,1093,709
task_kam4_gh149681,2291,886,429,1023,776,987,409,1092,714
task_kam4_gh149681,2542,1095,427,1365,901,1337,461,1631,839
task_kam4_gh149681,2556,1095,416,1361,931,1333,461,1574,889
task_kam4_gh149681,2559,1096,403,1338,878,1325,443,1602,902
task_kam4_gh149681,2560,1094,400,1323,884,1320,438,1603,958
task_kam4_gh149681,2561,1093,395,1312,885,1323,433,1603,1003
task_kam4_gh149681,2620,1044,435,1330,888,1178,550,1455,1080
task_kam4_gh149681,2621,1041,441,1336,899,1182,549,1444,1076
task_kam4_gh149681,2630,1116,486,1460,1079,1032,442,1252,899
task_kam4_gh149681,2871,1412,418,1654,879,1135,366,1488,1067
task_kam4_gh149681,2872,1399,420,1661,858,1132,373,1488,1041
task_kam4_gh149681,2884,1413,429,1709,906,1071,377,1425,1077
task_kam4_gh149681,2893,1409,407,1709,908,1015,381,1362,1074
task_kam4_gh149681,2894,1412,410,1706,905,1412,411,1704,907
task_kam4_gh149681,3148,868,416,1040,737,1001,423,1144,722
task_kam4_gh149681,3149,866,416,1033,737,1024,421,1144,724
task_kam4_gh149681,3150,863,412,1033,737,1019,423,1144,724
task_kam4_gh149681,3151,862,412,1040,737,1016,423,1142,724
task_kam4_gh149681,3152,864,410,1039,740,1021,425,1141,724
task_kam4_gh149681,3153,860,404,1034,743,1029,423,1141,724
task_kam4_gh149681,3154,859,402,1036,752,1027,420,1138,724
task_kam4_gh149681,3155,859,399,1025,750,1029,416,1138,725
task_kam4_gh149681,3223,939,405,1110,834,1068,396,1368,869
task_kam4_gh149681,3224,938,405,1110,836,1076,392,1369,870
task_kam4_gh149681,3225,939,405,1134,853,1059,397,1367,869
task_kam4_gh149681,3226,938,403,1134,858,1060,398,1366,869
task_kam4_gh149681,3249,943,396,1135,848,1097,387,1365,969
task_kam4_gh149681,3250,943,398,1135,847,1125,398,1362,970
task_kam4_gh149681,3251,942,403,1135,847,1125,397,1362,971
task_kam4_gh149681,3252,942,405,1135,848,1125,396,1363,973
task_kam4_gh149681,3253,942,407,1136,847,1125,396,1362,975
task_kam4_gh149681,3254,943,409,1135,847,1124,390,1362,975
task_kam4_gh149681,3267,940,423,1169,866,1034,434,1366,985
task_kam4_gh149681,3269,934,429,1156,859,1008,452,1366,983
task_kam4_gh149681,3289,998,459,1328,926,963,444,1178,857
task_kam4_gh149681,3455,769,452,1063,1079,428,469,691,1078
task_kam4_gh149681,3479,382,465,780,925,1307,382,1422,554
task_kam4_gh149681,3480,414,482,778,926,1307,381,1420,553
task_kam4_gh149681,3481,1305,381,1420,554,449,506,770,926
task_kam4_gh149681,3482,1305,381,1417,557,476,499,758,921
task_kam4_gh149681,3483,407,481,725,914,1303,381,1417,551
task_kam4_gh149681,3494,320,442,664,952,1303,382,1415,552
task_kam4_gh149681,3784,778,412,953,865,962,403,1101,793
task_kam4_gh149681,3785,778,413,955,868,972,402,1108,796
task_kam4_gh149681,3786,775,407,955,868,974,405,1120,796
task_kam4_gh149681,3787,973,407,1134,798,771,405,955,868
task_kam4_gh149681,3788,974,413,1149,799,767,399,953,863
task_kam4_gh149681,3835,1171,394,1390,812,914,363,1228,867
task_kam4_gh149681,4112,506,433,890,1080,756,520,1031,861
task_kam4_gh149681,4113,496,418,900,1080,762,520,1032,863
task_kam4_gh149681,4114,489,420,894,1080,762,522,1027,877
task_kam4_gh149681,4117,457,444,883,1079,781,489,1005,941
task_kam4_gh149681,4127,383,454,708,1077,691,567,956,1072
task_kam4_gh149681,4128,316,426,703,1075,665,569,955,1075
task_kam4_gh149681,4129,317,411,683,1075,671,556,956,1075
task_kam4_gh149681,4130,312,427,674,1078,690,554,954,1077
task_kam4_gh149681,4131,303,438,671,1078,686,566,946,1078
task_kam4_gh149681,4132,293,419,676,1077,676,582,946,1080
