epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.16335,1.45165,2.69255,1.4676,0.01026,0.98232,0.3951,0.2198,1.20858,2.50943,1.34127,0.00032867,0.00032867,0.00032867
2,8.08986,1.18653,1.9714,1.27024,0.36862,0.50872,0.41636,0.21228,1.58715,1.95619,1.57292,0.000658332,0.000658332,0.000658332
3,10.9795,1.17939,1.76123,1.24439,0.48173,0.60109,0.57315,0.31696,1.4205,1.7418,1.55921,0.000974412,0.000974412,0.000974412
4,13.8665,1.20131,1.63779,1.23987,0.50111,0.60808,0.58212,0.30005,1.48545,1.69633,1.48039,0.00127691,0.00127691,0.00127691
5,16.7691,1.21263,1.49946,1.25443,0.73339,0.65758,0.73967,0.39797,1.5336,1.57471,1.59524,0.00131582,0.00131582,0.00131582
6,19.6661,1.19132,1.39749,1.23031,0.79166,0.73947,0.82855,0.46233,1.48616,1.36669,1.59357,0.00128753,0.00128753,0.00128753
7,22.5748,1.13119,1.28802,1.20242,0.85357,0.76465,0.88197,0.50269,1.40641,1.4265,1.44228,0.00125923,0.00125923,0.00125923
8,25.4875,1.12807,1.24174,1.20375,0.85334,0.76541,0.86413,0.47886,1.46496,1.39309,1.43559,0.00123094,0.00123094,0.00123094
9,28.3926,1.12321,1.16912,1.20709,0.85712,0.85589,0.92266,0.60088,1.17122,1.08837,1.27166,0.00120265,0.00120265,0.00120265
10,31.2838,1.08278,1.16421,1.1898,0.87909,0.81333,0.9126,0.60477,1.16682,1.00334,1.27789,0.00117435,0.00117435,0.00117435
11,34.2118,1.04387,1.09146,1.1662,0.88743,0.82475,0.90309,0.61072,1.09094,0.97454,1.21166,0.00114606,0.00114606,0.00114606
12,37.2122,1.09244,1.07425,1.19424,0.86942,0.78763,0.89105,0.59211,1.17494,1.03284,1.24663,0.00111776,0.00111776,0.00111776
13,40.1499,1.04629,1.03592,1.15574,0.8533,0.7646,0.89568,0.53403,1.2839,1.04219,1.33785,0.00108947,0.00108947,0.00108947
14,43.0985,1.03914,1.02462,1.16537,0.85413,0.86181,0.92598,0.63166,1.10786,0.92007,1.2403,0.00106118,0.00106118,0.00106118
15,46.07,1.02715,1.01461,1.16575,0.9359,0.82494,0.93163,0.61324,1.16258,0.92796,1.25913,0.00103288,0.00103288,0.00103288
16,48.9927,1.04561,1.02214,1.17018,0.92044,0.85905,0.93444,0.62432,1.13386,0.91255,1.21519,0.00100459,0.00100459,0.00100459
17,51.8972,1.00539,0.91365,1.12096,0.88684,0.85051,0.94315,0.64355,1.08604,0.83999,1.19942,0.000976293,0.000976293,0.000976293
18,54.8336,0.98993,0.91725,1.12941,0.88881,0.85947,0.92749,0.64088,1.12882,0.85599,1.20955,0.000947999,0.000947999,0.000947999
19,57.7578,1.00054,0.91904,1.13359,0.87928,0.82655,0.9045,0.64705,0.99753,0.9438,1.15692,0.000919704,0.000919704,0.000919704
20,60.6882,0.96416,0.89836,1.1295,0.94449,0.88278,0.95189,0.66344,1.05397,0.79808,1.17374,0.00089141,0.00089141,0.00089141
21,63.6318,0.93938,0.86778,1.11529,0.92534,0.88876,0.94324,0.66089,1.03096,0.79471,1.17603,0.000863116,0.000863116,0.000863116
22,66.5539,0.94332,0.8491,1.11943,0.9068,0.86101,0.95963,0.66285,1.06113,0.85099,1.18982,0.000834822,0.000834822,0.000834822
23,69.4968,0.90581,0.81083,1.09347,0.94048,0.8894,0.94652,0.66322,1.06711,0.76184,1.18255,0.000806528,0.000806528,0.000806528
24,72.4299,0.91872,0.83176,1.10612,0.95985,0.89572,0.95729,0.68757,0.99666,0.68359,1.11894,0.000778233,0.000778233,0.000778233
25,75.3398,0.90375,0.8191,1.08662,0.89274,0.91956,0.95077,0.6786,1.00288,0.73479,1.14481,0.000749939,0.000749939,0.000749939
26,78.2703,0.92491,0.79238,1.10054,0.92163,0.91615,0.9583,0.68722,1.00482,0.71639,1.13878,0.000721645,0.000721645,0.000721645
27,81.3054,0.88751,0.77778,1.08245,0.90308,0.94293,0.95939,0.69834,0.99342,0.64702,1.09762,0.000693351,0.000693351,0.000693351
28,84.2664,0.88478,0.74769,1.08605,0.93781,0.92104,0.96803,0.69268,0.99456,0.65122,1.12211,0.000665057,0.000665057,0.000665057
29,87.175,0.872,0.7475,1.07758,0.97761,0.9202,0.96944,0.6852,0.98438,0.68315,1.11903,0.000636762,0.000636762,0.000636762
30,90.1607,0.87599,0.74422,1.06997,0.94021,0.88654,0.9639,0.71925,0.91436,0.65939,1.08924,0.000608468,0.000608468,0.000608468
31,93.0615,0.86721,0.73054,1.07117,0.94987,0.92977,0.96774,0.72546,0.90846,0.65888,1.08061,0.000580174,0.000580174,0.000580174
32,95.9788,0.82502,0.70402,1.04345,0.96974,0.91513,0.97008,0.71789,0.93565,0.63348,1.09026,0.00055188,0.00055188,0.00055188
33,98.9448,0.81721,0.70374,1.04634,0.94301,0.91955,0.96701,0.74054,0.88052,0.61847,1.04611,0.000523586,0.000523586,0.000523586
34,101.874,0.79676,0.68216,1.05094,0.95286,0.90577,0.96959,0.7195,0.92299,0.62626,1.08402,0.000495291,0.000495291,0.000495291
35,104.798,0.79587,0.67498,1.04432,0.94498,0.90741,0.96039,0.72697,0.91534,0.61898,1.07768,0.000466997,0.000466997,0.000466997
36,107.723,0.82288,0.68384,1.0419,0.954,0.91488,0.9574,0.71283,0.94218,0.62711,1.0806,0.000438703,0.000438703,0.000438703
37,110.637,0.81094,0.67841,1.05463,0.95473,0.9219,0.97069,0.74118,0.85707,0.58961,1.05274,0.000410409,0.000410409,0.000410409
38,113.581,0.80514,0.68178,1.06587,0.94626,0.91329,0.97782,0.74525,0.8598,0.57743,1.03845,0.000382115,0.000382115,0.000382115
39,116.508,0.75305,0.63423,1.02622,0.96644,0.92594,0.98011,0.744,0.86534,0.56023,1.04045,0.00035382,0.00035382,0.00035382
40,119.421,0.75035,0.63814,1.02752,0.9752,0.92755,0.98056,0.73727,0.88576,0.57645,1.03819,0.000325526,0.000325526,0.000325526
41,123.916,0.60242,0.5273,0.95719,0.9236,0.92882,0.97426,0.73813,0.88968,0.59929,1.04732,0.000297232,0.000297232,0.000297232
42,126.835,0.58922,0.50257,0.95825,0.93707,0.92759,0.968,0.736,0.88815,0.59621,1.05885,0.000268938,0.000268938,0.000268938
43,129.709,0.57299,0.48105,0.94561,0.95735,0.93182,0.97712,0.74356,0.85914,0.58816,1.03989,0.000240644,0.000240644,0.000240644
44,132.567,0.55522,0.47318,0.94093,0.96777,0.92967,0.974,0.7452,0.85771,0.58115,1.03145,0.000212349,0.000212349,0.000212349
45,135.432,0.54729,0.46021,0.93478,0.95288,0.92626,0.96869,0.75141,0.8361,0.5683,1.02779,0.000184055,0.000184055,0.000184055
46,138.328,0.52699,0.45208,0.93269,0.95125,0.92812,0.9775,0.75077,0.8326,0.57392,1.0219,0.000155761,0.000155761,0.000155761
47,141.221,0.51849,0.44832,0.9131,0.94886,0.94107,0.97872,0.75263,0.82398,0.56501,1.01276,0.000127467,0.000127467,0.000127467
48,144.106,0.52434,0.44614,0.9328,0.94007,0.92914,0.97283,0.75068,0.83302,0.55594,1.018,9.91726e-05,9.91726e-05,9.91726e-05
49,146.999,0.50101,0.43043,0.91592,0.94209,0.92531,0.97332,0.74995,0.83152,0.55615,1.01564,7.08784e-05,7.08784e-05,7.08784e-05
50,149.911,0.49263,0.42376,0.91564,0.96256,0.90303,0.97352,0.74992,0.83,0.56464,1.02031,4.25842e-05,4.25842e-05,4.25842e-05
